Great job! Thanks for being a great tutor! 
"Thanks so much for your help and enthusiasm! I found Psych 305 to be a really difficult class, but having you as a tutor helped me so much with the work content because your excitement made me get more excited about it, which helped me engage and learn better! I really loved having you teach us! All the best. :)"
Thanks for a great semester!!
"Thank you for teaching us over the past semester, and good luck with your PhD!"
"Great job. I personally hate tutorials, and you made them fun and engaging and made me look forward to coming :) "
Thank you for a lovely lab! 
I think you are a great tutor (: 
thank you for all your hard work :) 
Thank you! 
I'm not actually in your normal stream but joined it once when I couldn’t attend my normal one and I enjoyed your tutorial so much that I made it my regular stream and have been coming along ever since 
LOVE YOU DANIELE!!! You are an awesome tutor
you never gave us the pizza making class :( 
Please keep tutoring! You're literally my fav!
"Thank you for being such a lovely tutor this semester, I wish you luck on all your future eneavours."
No
Great mustache! And you did a great job giving students opportunity to ask questions individually (rather than to whole class) so felt more comfortable and open. Thanks!
"Daniele is an amazing tutor and an amazing person. With great professionalism that can be seen on our assignments feedback and advice, he is super friendly and ensures that you are not being negatively criticised. He is highly supportive and always pushes you to perform to the best of your ability."
"Daniele is an amazing tutor, who is thoughtful and empathetic. He is a great help to those who are stuck and need a direction."
Daniele was my tutor for my year 3 capstone course of my degree. He was an amazing communicator who was ways able to convey feedback in an depth manner - because of this I was motivated improve my work rather than seeing it as a daunting task. He also always came to meetings with a positive attitude and willingness to help! 
Daniele is an extremely friendly tutor. Very thoughtful and always eager to help his students. His tutorial sessions were always helpful and his assignment feedbacks were very detailed and accurate. Would love to have him as my tutor for other classes too.
You are a great tutor. Continue to do the awesome work of teaching your students. 
Daniele is very calm in nature and provides a positive environment that allows for learning and is very entertaining when adding his magic into his tutorials. 
Daniele was a great tutor to have as he was always so nice to everyone and helpful when questions were asked. I learnt a lot in his class and it made me enjoy going to my tutorial because he was a good teacher. 
"Whilst there was a lot of crossover with lectures, this was necessary for me to solidify understanding "
Nope 
"Thank you for being my tutor for Biopsychology this semester, was very fun. "
Thank you! 
Thanks for this semester :)
Nothing but thank you :) 
Thank you so much for all the tutorials! Best tutor I've ever had.
Honestly really amazing tutor/lab instructor!! For an 8am lab they were all quite entertaining/engaging. One of the best tutorials I've ever had! Thank you very much!
Thank you for making the labs interactive! I actually really enjoyed the presentations and group work so thank you for that as well :) 
Thank you!
Really enjoyed your labs and glad I ended up with you as my tutor!
Thank you!
Just maybe slow down in speech
"I agree, the EEG lab was the best one that I enjoyed the most, and practical experiments help my understanding of what we were learning a lot morw"
I agree with content being more practical. I feel like we learn about other research but not how to action it. I feel unprepared for post grad because all my research knowledge comes from lecture slides or one topic for my essay. 
"While I do enjoy the more practical labs as a change of pace, I think that rehashing the lecture content in more detail and really parsing out the information is super valuable and helpful."
"Loved this class, super helpful and super fun. Made waking up early on a Monday much easier!!"
Thank you! 
Thank you!! 
Thanks so much!
Thank you for the semester ! 
"Thank you for this semester, I hope you achieve everything you want to in life :)"
"Don't really see much you could improve on, especially with the content you're given for the labs."
You were one of my better tutors this semester (and for most of my time at uni). Thank you so much for the engaging and helpful classes! :)
All the very best for whatever you do next in life!
"I genuinely agree about having the labs be more activity-based rather than lecture recaps. Labs are the only opportunity students get to use the software that in future jobs many students will be expected to know how to use. The labs are not recorded, so the time in-lab is extremely valuable. Whereas lecture content can always be watched later if it was missed in-person! Additionally, if the lecture portion of lab time is reduced this would allow more time to learn the ‘why’ behind each step of what to do in the activities - rather than rushing through to finish on time."
